Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
ec513993-7811-495d-9f91-e876c3f7280a,2020-12-27 15:37:58,Running,,5.91,1:05:55,11:09,5.38,850.0,51,,"","",2020-12-27-153758.gpx
5313bdaf-71fb-40a7-8b7d-be9d899569c8,2020-12-26 14:17:50,Running,,6.90,1:15:19,10:55,5.49,995.0,86,,"","",2020-12-26-141750.gpx
7d1418b8-77ca-4af7-af49-48bbb022b822,2020-12-25 09:36:50,Running,,9.93,1:46:32,10:44,5.59,1427.0,105,,"","",2020-12-25-093650.gpx
4a633cbe-0330-41e6-a956-d398b0ece3d4,2020-12-23 17:24:57,Running,,3.51,43:09,12:17,4.89,478.0,24,,"","",2020-12-23-172457.gpx
7d3659ad-8be2-4638-8798-bfc89772affa,2020-12-22 17:47:16,Running,,4.54,48:38,10:42,5.60,654.0,31,,"","",2020-12-22-174716.gpx
932047dd-e1c7-4903-a9b5-ba9817f1440e,2020-12-21 16:15:03,Running,,5.93,57:45,9:45,6.16,851.0,54,,"","",2020-12-21-161503.gpx
915fc828-33b3-41ad-b054-140a21d3d0e8,2020-12-19 06:08:26,Running,,6.99,1:12:33,10:23,5.78,1002.0,91,,"","",2020-12-19-060826.gpx
e8da901c-fdc8-46ae-8a55-f898b2bfbd75,2020-12-18 17:39:41,Running,,3.99,39:24,9:53,6.07,569.0,22,,"","",2020-12-18-173941.gpx
fa319182-b404-4e09-abd5-4616b2d11087,2020-12-16 09:21:27,Running,,4.49,43:04,9:36,6.25,644.0,31,,"","",2020-12-16-092127.gpx
cf92704c-ac9e-4cb0-8362-e2a826293689,2020-12-15 06:39:22,Running,,5.52,55:07,9:59,6.01,797.0,71,,"","",2020-12-15-063922.gpx
52c759f4-99b4-4646-b5c0-f65b70a061aa,2020-12-13 06:38:38,Running,,3.21,42:02,13:05,4.59,429.0,26,,"","",2020-12-13-063838.gpx
8de6fdfc-b6fa-408d-b073-6de7fd09a7a5,2020-12-12 06:15:37,Running,,9.94,1:41:19,10:12,5.88,1423.0,108,,"","",2020-12-12-061537.gpx
